age,gender,income,education_level,marital_status,mental_health_condition,savings_amount,employment_status,family_size,debt_amount,physical_activity_level,credit_score,sleep_quality,risk_tolerance,insurance_coverage,social_support_network,stress_level,access_to_healthcare,financial_goals,resilience_score,calculated_risk_score,calculated_resilience_score,net_risk_score,risk_category,risk_resilience_ratio,debt_to_income_ratio
19,1,118098.64,4,2,2,65653.92,1,2,2364.32,3,502,1,2,1,1,8,1,1,100,66,62,4,Medium Risk,1.05,0.02
58,0,31159.98,1,0,1,968.24,3,2,180844.65,1,508,0,2,1,2,2,1,2,72,59,37,22,High Risk,1.55,5.8
71,1,67375.66,4,3,0,45042.8,1,5,137511.8,0,773,0,1,1,0,9,0,4,99,48,70,-22,Low Risk,0.68,2.04
39,1,79811.08,4,2,2,152549.83,0,2,235814.18,0,623,2,2,1,10,8,0,3,46,90,57,33,High Risk,1.55,2.95
25,1,179316.58,2,2,1,230481.14,0,1,102400.15,0,413,0,1,0,7,7,1,1,50,100,50,50,High Risk,1.96,0.57
43,2,113267.16,2,1,0,14538.03,3,4,198285.57,3,619,0,0,0,8,7,1,0,18,56,53,3,Medium Risk,1.04,1.75
60,0,65443.59,1,3,0,106596.49,2,3,44205.69,0,815,2,1,1,9,2,0,1,63,12,88,-76,Low Risk,0.13,0.68
21,1,60898.32,1,3,3,135741.62,1,10,102181.68,1,349,2,2,0,3,2,1,1,0,82,48,34,High Risk,1.67,1.68
73,1,145402.24,4,1,0,28410.92,0,7,84376.19,2,537,0,2,0,9,3,0,1,16,64,60,4,Medium Risk,1.05,0.58
50,1,130878.58,2,0,2,63.52,1,2,59898.57,2,542,1,1,0,7,4,1,1,99,56,48,8,Medium Risk,1.14,0.46
18,0,152534.81,4,0,2,136042.13,0,5,153626.68,2,603,2,0,1,7,3,0,4,75,89,61,28,High Risk,1.44,1.01
18,1,126881.63,3,0,0,63198.18,0,6,148688.1,2,349,2,2,1,3,6,1,4,59,84,51,33,High Risk,1.62,1.17
