age,gender,income,education_level,marital_status,mental_health_condition,savings_amount,employment_status,family_size,debt_amount,physical_activity_level,credit_score,sleep_quality,risk_tolerance,insurance_coverage,social_support_network,stress_level,access_to_healthcare,financial_goals,resilience_score,calculated_risk_score,calculated_resilience_score,net_risk_score,risk_category,risk_resilience_ratio,debt_to_income_ratio
57,0,165656.69,4,2,3,242980.96,3,7,141327.89,1,764,3,0,0,7,10,0,4,9,59,94,-35,Low Risk,0.62,0.85
45,1,95744.19,4,3,3,108571.44,3,3,38934.81,0,490,3,1,0,2,8,1,4,14,49,66,-17,Low Risk,0.73,0.41
41,0,49417.62,3,0,2,63269.22,2,2,54757.18,2,558,0,0,0,0,2,0,0,84,65,36,29,High Risk,1.76,1.11
46,1,17408.96,1,1,3,73197.43,3,3,89746.57,2,320,0,0,1,5,7,1,0,71,49,38,11,Medium Risk,1.26,5.15
45,1,239300.57,3,1,1,11867.06,1,10,164167.35,0,646,3,0,1,3,7,0,2,74,69,57,12,Medium Risk,1.19,0.69
44,2,38943.94,2,1,2,49929.7,0,5,33568.96,0,453,0,2,1,2,3,1,2,86,70,32,38,High Risk,2.12,0.86
46,1,229440.95,2,3,0,246478.52,0,6,76181.01,0,513,2,1,0,8,8,1,2,36,66,72,-6,Medium Risk,0.9,0.33
54,0,227477.67,4,2,2,64304.3,1,1,8562.71,0,448,2,1,0,2,4,1,4,64,67,68,-1,Medium Risk,0.97,0.04
19,0,119730.77,1,1,0,10855.19,3,7,88617.73,2,783,3,2,1,3,9,0,3,81,40,68,-28,Low Risk,0.58,0.74
40,1,117833.93,4,1,0,14406.76,0,6,133461.7,1,641,0,1,0,7,9,1,2,20,71,51,20,Medium Risk,1.37,1.13
66,0,105437.0,2,0,2,112179.34,2,6,33254.35,3,832,3,0,1,6,10,1,2,71,24,100,-76,Low Risk,0.24,0.32
38,1,72246.04,4,1,3,145904.39,0,1,242021.42,3,554,0,0,1,8,9,1,1,81,90,54,36,High Risk,1.64,3.35
28,7,97614.27,2,2,2,96433.21,0,8,242454.37,2,834,0,1,0,4,3,0,3,44,100,63,37,High Risk,1.56,2.48
57,1,151097.31,2,0,1,119794.21,1,2,222102.69,2,443,3,1,0,7,9,1,4,66,84,64,20,Medium Risk,1.29,1.47
68,0,1754.92,2,3,3,203648.8,2,9,152318.42,1,648,3,1,0,4,7,1,1,71,54,70,-16,Low Risk,0.76,86.75
49,0,106116.29,3,0,0,214393.12,2,10,30169.11,2,447,2,1,1,10,5,1,2,18,38,81,-43,Low Risk,0.46,0.28
28,1,90856.95,3,1,3,65895.12,0,1,114634.43,0,748,0,0,0,0,5,1,3,94,82,43,39,High Risk,1.86,1.26
39,0,35697.58,2,1,0,189083.66,0,7,95049.84,1,302,3,2,1,0,9,0,3,42,79,39,40,High Risk,1.98,2.66
38,0,139085.46,3,2,2,85106.39,1,1,200428.08,0,724,0,2,0,2,6,0,1,7,96,62,34,High Risk,1.52,1.44
43,0,190691.46,3,1,2,65070.37,1,2,102629.82,0,447,1,2,1,5,0,1,1,96,60,60,0,Medium Risk,0.98,0.54
39,0,225789.53,4,1,1,210291.65,3,5,244339.21,0,717,0,1,1,1,3,0,1,64,59,81,-22,Low Risk,0.72,1.08
81,0,64172.56,3,2,1,28582.86,0,5,28676.78,2,649,0,1,0,10,2,1,2,96,64,55,9,Medium Risk,1.14,0.45
42,0,32975.62,1,3,1,208683.45,1,7,104139.4,3,366,2,2,0,9,6,0,3,100,83,59,24,High Risk,1.38,3.16
45,1,173543.02,1,3,2,159624.74,3,10,104373.82,2,827,1,0,0,5,0,1,1,29,40,88,-48,Low Risk,0.45,0.6
52,1,122803.03,1,1,3,217195.04,2,9,12232.87,0,761,2,0,1,7,10,0,3,53,31,86,-55,Low Risk,0.36,0.1
33,1,15283.74,2,3,1,150995.32,0,7,141580.6,1,384,1,0,1,6,9,0,2,67,91,40,51,High Risk,2.22,9.26
24,1,42433.98,4,0,1,156011.89,1,5,62413.81,3,504,0,1,0,2,1,1,4,78,77,45,32,High Risk,1.67,1.47
45,0,90566.15,2,2,3,35491.42,0,4,43880.96,2,588,0,1,0,8,10,0,2,59,88,43,45,High Risk,2.0,0.48
46,1,107128.73,3,3,1,95366.78,1,2,87920.19,0,680,2,1,1,3,7,1,3,97,43,67,-24,Low Risk,0.63,0.82
59,0,176671.17,3,0,1,243526.81,3,1,94260.75,0,429,3,2,1,7,3,1,3,27,47,78,-31,Low Risk,0.59,0.53
45,0,194187.37,2,2,2,79381.25,2,6,138548.43,0,802,0,1,0,3,6,0,1,78,63,80,-17,Low Risk,0.78,0.71
36,0,229452.47,3,0,1,166148.64,0,5,62043.94,0,674,1,2,1,4,4,0,4,18,67,73,-6,Medium Risk,0.91,0.27
73,0,219358.58,4,2,3,70868.27,3,4,81539.66,2,415,0,1,1,10,7,1,0,70,52,81,-29,Low Risk,0.63,0.37
30,4,198569.44,4,1,1,79934.28,2,6,79671.2,3,489,3,2,0,2,0,0,4,16,69,74,-5,Medium Risk,0.92,0.4
43,0,176110.59,4,0,1,247768.92,1,6,58570.05,1,522,2,2,1,2,7,1,4,59,62,75,-13,Low Risk,0.82,0.33
68,0,64875.8,3,3,1,143657.83,1,10,63304.42,0,753,2,1,1,9,9,1,1,50,42,88,-46,Low Risk,0.47,0.98
79,0,55378.46,1,3,1,147262.87,0,9,12946.1,3,715,2,0,1,8,0,1,4,70,43,80,-37,Low Risk,0.53,0.23
62,1,53281.39,4,3,1,215962.27,3,7,240078.9,2,829,3,1,1,7,4,0,0,33,41,96,-55,Low Risk,0.42,4.51
22,1,153691.13,4,0,0,135599.19,0,9,199365.72,2,600,2,0,0,10,4,1,0,91,88,58,30,High Risk,1.49,1.3
47,0,162302.06,4,1,3,3291.59,0,4,225327.83,1,645,1,1,1,4,8,1,1,61,80,56,24,High Risk,1.4,1.39
54,0,99190.13,3,0,2,212346.46,0,1,180826.18,3,425,2,2,0,3,2,0,0,44,99,48,51,High Risk,2.02,1.82
53,0,129436.24,3,2,3,97319.61,2,9,2848.7,1,324,0,2,1,5,5,1,4,79,54,73,-19,Low Risk,0.73,0.02
56,1,15.09,4,3,3,78116.51,3,7,12940.06,3,368,0,1,0,6,4,0,1,79,49,63,-14,Low Risk,0.77,804.23
84,1,85329.75,2,2,0,98420.03,1,3,82104.08,3,441,1,1,1,4,9,1,1,33,51,56,-5,Medium Risk,0.89,0.96
85,4,142467.22,2,2,3,212812.6,3,3,207984.23,0,671,1,1,0,5,2,0,3,43,70,71,-1,Medium Risk,0.97,1.46
61,1,24655.1,4,0,0,202406.14,2,6,145925.23,0,729,1,2,1,5,8,1,3,87,32,78,-46,Low Risk,0.41,5.92
78,1,203846.43,4,3,1,136833.08,2,9,64792.67,3,501,3,1,1,5,0,0,2,26,37,96,-59,Low Risk,0.38,0.32
45,1,97692.57,3,2,1,46401.18,1,10,231781.33,1,448,2,2,0,10,4,0,3,53,97,52,45,High Risk,1.83,2.37
42,0,193961.94,3,2,1,131290.78,0,9,223181.48,2,716,3,2,1,6,0,1,2,59,86,83,3,Medium Risk,1.02,1.15
64,0,169758.14,2,0,1,233632.56,0,7,119466.92,2,522,2,0,0,9,10,1,0,83,87,55,32,High Risk,1.55,0.7
23,0,177332.05,2,1,2,113611.02,0,8,133944.6,3,341,3,1,1,1,4,1,3,69,99,55,44,High Risk,1.77,0.76
63,1,31890.61,3,2,1,130817.07,3,4,124380.96,2,623,1,1,1,4,9,0,0,74,52,54,-2,Medium Risk,0.95,3.9
34,1,53657.5,1,0,3,11585.65,0,4,23661.56,3,525,0,2,1,9,2,0,3,65,70,40,30,High Risk,1.71,0.44
21,1,137019.53,1,0,3,100239.62,2,4,34205.83,0,461,1,0,0,10,10,0,3,50,66,56,10,Medium Risk,1.16,0.25
44,1,237395.46,2,0,0,48924.0,1,10,191837.92,3,833,1,2,0,4,6,1,4,23,63,85,-22,Low Risk,0.73,0.81
50,0,58889.06,3,1,0,19956.06,3,3,142981.08,1,415,0,2,1,7,6,1,2,87,45,56,-11,Low Risk,0.79,2.43
31,0,156296.17,2,1,3,83224.71,1,6,221772.93,3,849,2,2,0,5,6,1,1,7,72,84,-12,Low Risk,0.85,1.42
78,0,54643.36,1,1,0,230395.71,2,7,133203.1,0,356,1,0,0,1,7,0,2,3,62,48,14,Medium Risk,1.27,2.44
22,1,130844.7,3,3,3,18870.1,3,8,150935.16,0,380,1,0,1,2,3,0,4,7,76,47,29,High Risk,1.58,1.15
18,1,48869.82,3,1,0,188253.53,3,5,237525.07,0,506,3,0,1,6,3,1,4,85,52,51,1,Medium Risk,1.0,4.86
25,1,129396.02,3,2,3,140928.67,3,9,83126.01,1,704,2,2,1,7,2,1,1,2,45,83,-38,Low Risk,0.54,0.64
64,1,184442.47,3,1,3,9735.13,1,6,67253.62,2,738,0,2,0,8,6,0,3,1,56,80,-24,Low Risk,0.69,0.36
